Taxa	ADW	FW	ML	pSL	RL	SL	TL
Ms71	0.0174310866968247	0.265413029530808	1.62806677526095	9.89043849174368	8.40031839967616	11.4875530856622	19.6234440038028
N68a	0.0166067926516013	0.253456951442417	2.56843907592278	10.8938033774218	13.2080474457202	13.4954457410277	26.6764966299407
nan21-3	0.0228104600664408	0.288173047895141	1.33468892420262	16.0219125244691	12.5590501758866	17.4233881100891	29.3876146184546
niu2-1	0.0224881822178572	0.346419381498199	2.72314683900942	15.9054367223776	9.46389593879587	18.7559093748746	27.1366329346531
NN14B	0.0248408105125171	0.237634100749108	1.44898156762513	10.4101032003619	14.2767275772316	11.8650258279328	26.4339476510031
NS501	0.0350982400672115	0.418456484907345	1.7836183689938	17.6355521174201	21.1981635815979	19.4434038450496	40.5505635741089
P167	0.016850441080971	0.264958852073188	1.34686724583384	12.6235760469732	11.111172954469	13.9795237723771	24.7241148289393
PHG35	0.0195983982468609	0.296335397193101	1.19696102048418	11.8653375466819	14.8672151663313	13.096764880397	28.0399766893248
PHG47	0.0123804391499354	0.18671730937367	1.13763925139486	8.93980354952602	9.48970178617369	10.0031079963258	19.5057039518972
PHG71	0.0195252794581898	0.277730894574003	1.18284868981712	14.2432935889644	10.9748213697293	15.4532262591339	25.9718486000284
PHJ40	0.0185599656476127	0.278322817823067	1.8425158789716	10.9020073940438	11.3631941723877	12.700855762975	24.2228969332678
PHJ75	0.0129506085019253	0.30968486327028	1.34154004289212	13.4584524077207	13.5410558473285	14.8067430100368	28.3208931124475
PHK05	0.014748185265011	0.229972380046728	2.06832318151368	12.6144788098033	12.5856103189054	14.7476289703057	27.0954984067025
PHK93	0.0176540144891041	0.254226835025007	1.38881266754989	8.90410810083804	10.0479700574309	10.3158813794587	20.3847000737969
PHN29	0.0164141086886271	0.245512282522062	2.07115233122665	11.2599197460693	13.1125653384754	13.4080915488563	26.4868720118171
PHN37	0.0224500310050339	0.278045215001397	1.51613759509426	14.8196895036806	10.52869121726	16.3326581810178	26.2012029695895
PHR30	0.0200127380493305	0.235769757696533	1.566618546586	11.3098252935129	8.07134235766144	12.9083547938651	20.5434170111745
PHR55	0.0163567986157753	0.247244818127668	1.16159022058397	10.1398830750578	11.4859162831328	11.3405285812008	22.7998909589396
PHT22	0.0184772434872373	0.290031039678431	1.37613570374334	11.930952521115	14.9953445751482	13.3243910662831	28.4337716939891
PHT69	0.0168377398561019	0.281782842822003	1.70093714327134	8.87609086030299	12.1289063202189	10.5514683983149	23.1813276015174
PHT77	0.0173338578538463	0.240886294041294	2.11694310596368	9.41359775210305	11.6306248579361	11.7105277059329	23.3858976928401
PHW03	0.0214751138227526	0.296707837137762	2.32192155225693	13.0438976205528	9.20807748329235	15.470054141248	24.1838690863429
PHW17	0.0165784032437953	0.285181244118416	1.24748865841598	9.41595096059987	9.77228317890974	10.6145518577946	20.5411322880975
PHW20	0.019920124455575	0.297146846154304	2.14262452641792	13.5002737999614	16.5894979779581	15.6527014422824	32.2455238578
PHW30	0.0222324811523161	0.277519512821124	1.61579845711683	13.583245619984	11.474173550846	15.2512804256086	26.2721937643736
PHW43	0.0142168589392289	0.246243043418257	2.00776709546011	10.9629129605079	12.6577047993578	13.0200873517058	25.6195480113502
PHWG5	0.0139926244487429	0.202184011304322	2.14856289635043	9.51898765821933	8.82395249281031	11.7200157195788	20.2230399518557
Q1261	0.012008838238019	0.174320127201087	1.28303149612968	8.25761904874189	7.64763618826507	9.50503751866533	17.1926289089148
qi35	0.0135391421588636	0.233638755533819	1.20489330592219	9.80905750224886	9.98075506386317	10.9834202089483	21.1146035504833
R31	0.0216457243296518	0.317608641382438	1.80828249966341	13.4145617094096	14.8759126325701	15.2774640043663	30.0748191802478
RS710	0.0255508442354887	0.317415991667333	2.15887313913345	15.660689500448	17.0383061016298	17.8680533683418	34.7284312825536
S22	0.0252659637255357	0.369208982622289	1.9151954130773	14.297925231881	11.5526760666945	16.2440070267476	27.4142163656878
S311	0.0195252794581898	0.308389153164195	1.12318831548581	12.1782347518145	14.9163252234272	13.3081531596865	28.3598653657738
SC11-1	0.0233030835395302	0.303806723159981	1.34683991195679	15.8470190194942	14.9179283379348	17.2700247105085	31.7777519991656
SC-14	0.0173961922102373	0.270478501787247	1.50061726085779	11.7847467001153	11.5851941117521	13.2989451640178	24.6904460265237
SC24-1	0.0225848655724323	0.352259505386162	1.85988714501481	15.2143512200603	14.0179622211408	17.2117687644126	30.7247197688596
SC30-1	0.0183717900739106	0.298632643463158	2.04859129624854	10.7714062674735	8.64444580387503	12.886946463075	21.156264577859
SC-9	0.0132138040984369	0.250051259350915	1.10205843580952	10.5532227451867	11.6412097449412	11.629437182872	23.4365967151049
Sg1533	0.0141089581546852	0.209242523469943	1.52471598586286	9.80112508092228	11.682066823799	11.2754379946246	23.0100553212405
shen5005	0.0133197857928503	0.261174445566846	1.92843011572086	8.13698775364205	9.4016978104306	10.0334074139734	19.7059090771896
shuang741	0.0171404911446962	0.239866508375091	1.68559727782296	8.6896993983994	10.1633778551085	10.422067687739	20.5984059195426
shuangM9B-1	0.03194460419517	0.397202612293912	1.96024342641617	16.8325507610132	17.5270940163533	18.8151642980655	36.147474940587
SW153	0.0470651619030835	0.518300812989464	2.60435377968097	21.9671455933906	23.5826147159991	24.6181660717596	47.9572224051002
T24	0.0186055980589952	0.306593016482644	1.54231255812182	11.6284590092546	14.5767344886432	13.122209548854	27.8380543828444
Va26	0.0174584585703145	0.316955312799712	1.80531215720608	11.2227511597526	14.2409485734626	13.0284920019844	27.3401990859671
W182bn	0.0148244196575018	0.201342346335275	2.34986348936539	9.81567119169282	10.5695620248382	12.2785698475284	22.7156825100607
W238	0.0155618751750401	0.271930434328497	1.04502026321559	8.54087274319189	14.0650126197536	9.40936214925284	24.1980562465399
W64A	0.0113713135955107	0.201853401022239	1.85666118217767	8.24941855137403	9.6427664902644	10.0714231023666	19.9284333518549
W968	0.018028075203981	0.280199260405557	1.60228961899491	10.6938846439995	9.78025375110559	12.3091867867462	21.8554249699459
W9706	0.0192654037320218	0.299145838236786	1.99599856119847	14.6645804188926	13.4746501695367	16.7704635834531	29.7890231319152
wu109	0.0156661533799331	0.285388171506176	1.37104099567354	11.5079463283007	15.1519079361927	12.8680176526117	28.1386543410025
wu126	0.0195983982468609	0.404329464379048	1.40538795634499	13.4182125151324	15.1822060131457	14.8709076637991	30.0148437024369
XF134	0.0179762923376877	0.290524240598446	1.55698442639334	13.9553843240244	13.5024752493563	15.5215295092622	28.8047598498949
xing230	0.0232938768393161	0.337869798373353	1.29957949213392	10.0182792504285	10.9658066479627	11.3377571135912	22.2878941321673
xingK36	0.0166005279113456	0.263000690644252	1.61304101886897	9.11843883987336	12.1598088947631	10.7431474176007	23.0346637270749
XOP2	0.0161736575989456	0.246785633417548	1.69989979607389	10.1615214514195	6.0350251791197	11.8531719493467	17.2991565993194
xuan6	0.0122230039627837	0.217550628570509	1.45554971935704	7.79725603426338	9.21003641483705	9.21453740998356	18.7398852435739
xun971	0.0212313845271822	0.30921398856058	1.46018579980186	12.2481853584069	12.626372803838	13.7560538265076	26.2620471455031
yan103	0.0126277403935489	0.18947398893876	1.31203151180732	10.2272948560395	7.18800849594154	11.5807909663736	18.4225295793004
