Gene	Media	p-value	thr001	log2(F1/MP)	MPH_gene_Num	sig
Zm00001d014968	12.40063132	6.17E-55	1.69E-05	0.168650139	NA	additive
Zm00001d048982	12.40397006	3.50E-28	2.21E-05	0.168692801	NA	additive
Zm00001d005199	12.40486058	3.87E-52	1.73E-05	0.168704422	NA	additive
Zm00001d042695	12.4071992	3.36E-43	1.71E-05	0.168734437	NA	additive
Zm00001d048047	12.40978353	1.74E-40	2.00E-05	0.168766235	NA	additive
Zm00001d024318	12.41521177	8.81E-51	1.72E-05	0.168837271	NA	additive
Zm00001d041556	12.41682446	1.23E-104	1.72E-05	0.168857967	NA	additive
Zm00001d044339	12.41774396	7.90E-28	1.76E-05	0.168869768	141	Positive
Zm00001d022622	12.41920347	6.44E-56	1.71E-05	0.168888498	49	Positive
Zm00001d041678	12.42109515	1.45E-33	1.71E-05	0.168909086	NA	additive
Zm00001d006910	12.42271952	1.48E-39	1.74E-05	0.168933619	62	Positive
Zm00001d047802	12.42279744	4.37E-45	1.71E-05	0.168923497	NA	additive
Zm00001d029934	12.43267974	5.95E-27	1.81E-05	0.169061352	NA	additive
Zm00001d003041	12.44021194	1.60E-20	1.72E-05	0.169158078	NA	additive
Zm00001d007034	12.44091414	5.53E-72	1.69E-05	0.169167088	NA	additive
Zm00001d034934	12.44295627	2.65E-16	2.29E-05	0.16919329	NA	additive
Zm00001d051672	12.44569576	1.71E-36	1.73E-05	0.169228438	NA	additive
Zm00001d001884	12.44696064	9.20E-66	1.70E-05	0.169244667	NA	additive
Zm00001d030069	12.44812972	2.21E-27	1.97E-05	0.169259666	NA	additive
Zm00001d053359	12.45231177	9.14E-24	1.89E-05	0.16931332	NA	additive
Zm00001d031316	12.45283272	1.32E-57	1.72E-05	0.169320003	NA	additive
Zm00001d026640	12.45718295	4.47E-35	1.75E-05	0.169375813	NA	additive
Zm00001d008874	12.45952142	5.54E-84	1.72E-05	0.169405813	NA	additive
Zm00001d023658	12.46141326	1.72E-54	1.70E-05	0.169430082	NA	additive
Zm00001d011242	12.46417557	1.62E-47	1.70E-05	0.169465517	NA	additive
Zm00001d011138	12.46498652	9.78E-76	1.74E-05	0.16947592	NA	additive
Zm00001d018610	12.46610149	3.41E-90	1.73E-05	0.169490223	NA	additive
